"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.190005830E-1,-1.124290785E0,6.951895022E-1,6.299880776E-1,1.464309800E0
6.289695827E-1,-1.014833539E0,6.963630384E-1,7.506187677E-1,1.441609215E0
6.389395827E-1,-9.744335184E-1,6.609096158E-1,7.128258741E-1,1.376387637E0
6.489085834E-1,-1.082702902E0,5.965118909E-1,6.342913359E-1,1.389387458E0
6.588785835E-1,-1.384922383E0,4.845768875E-1,4.829379129E-1,1.544685662E0
6.688475832E-1,-1.749093990E0,4.534123975E-1,1.826395351E-1,1.816113925E0
6.788175832E-1,-2.048976924E0,4.640379578E-1,-1.243732005E-1,2.104544215E0
6.887875833E-1,-2.334937344E0,4.248376393E-1,-2.936857617E-1,2.391374238E0
6.987565830E-1,-2.537666158E0,3.417527980E-1,-4.557302338E-1,2.600814209E0
7.087265830E-1,-2.609073525E0,1.581841403E-1,-5.272995687E-1,2.666520526E0
7.186955828E-1,-2.642793248E0,1.481918335E-2,-2.953814542E-1,2.659290500E0
7.286655828E-1,-2.670013791E0,-1.835335743E-1,-2.026177168E-2,2.676390995E0
7.386345826E-1,-2.727867604E0,-4.049313784E-1,2.079053539E-1,2.765584156E0
7.486045826E-1,-2.841983035E0,-5.944489932E-1,4.058376968E-1,2.931713051E0
7.585745826E-1,-2.987576365E0,-7.022751582E-1,6.042021489E-1,3.127916747E0
7.685435833E-1,-3.070581977E0,-7.383489704E-1,7.118119669E-1,3.237330560E0
7.785135834E-1,-3.028888406E0,-7.380343902E-1,7.413170171E-1,3.204436090E0
7.884825831E-1,-2.937437953E0,-7.199039286E-1,7.495978439E-1,3.115878740E0
7.984525831E-1,-2.826384125E0,-7.351879656E-1,6.985253388E-1,3.002813050E0
8.084225832E-1,-2.718519953E0,-7.414719683E-1,5.703923786E-1,2.874974588E0
8.183915829E-1,-2.680194963E0,-6.953426993E-1,4.532480907E-1,2.805776246E0
8.283615829E-1,-2.617515442E0,-6.114339852E-1,2.963737267E-1,2.704269956E0
8.383305827E-1,-2.496066727E0,-6.073228079E-1,1.374978608E-1,2.572565987E0
8.483005827E-1,-2.249843838E0,-6.096394747E-1,5.583038449E-2,2.331646332E0
8.582695834E-1,-1.951681155E0,-5.931900877E-1,-3.508329391E-5,2.039836713E0
8.682395834E-1,-1.691689243E0,-6.551623875E-1,-2.984144050E-1,1.838505210E0
8.782095835E-1,-1.618307271E0,-7.046234000E-1,-7.047081846E-1,1.900533132E0
8.881785832E-1,-1.763816548E0,-6.474434781E-1,-1.081243145E0,2.167791183E0
8.981485832E-1,-2.102875242E0,-5.725377220E-1,-1.468695441E0,2.628107689E0
9.081175830E-1,-2.264217171E0,-6.608008575E-1,-1.647001605E0,2.876795345E0
9.180875830E-1,-2.023447980E0,-8.541425514E-1,-1.148227678E0,2.478372052E0
9.280565828E-1,-1.459533293E0,-8.886364460E-1,-4.839746243E-1,1.775990879E0
9.380265828E-1,-6.121298404E-1,-8.615404487E-1,-2.371952266E-1,1.083151172E0
9.479965828E-1,3.539657311E-1,-7.597082645E-1,-2.598274595E-1,8.774729025E-1
9.579655826E-1,1.188247849E0,-3.656147003E-1,2.039157987E-2,1.243391683E0
9.679355826E-1,1.588265739E0,5.502177304E-1,3.589009273E-1,1.718760450E0
9.779045833E-1,1.495578454E0,1.027789654E0,5.209290272E-1,1.887981339E0
9.878745833E-1,1.237838451E0,7.053572255E-1,8.870155978E-1,1.678263840E0
9.978435831E-1,9.605292050E-1,-9.430272460E-2,1.223340425E0,1.558226926E0
1.007813583E0,5.420097745E-1,-9.044794768E-1,1.306287857E0,1.678763142E0
1.017783583E0,6.568908244E-3,-1.360237777E0,1.322651290E0,1.897286588E0
1.027752583E0,-6.184728634E-1,-1.427452106E0,1.422312988E0,2.107866797E0
1.037722583E0,-1.027596842E0,-1.294245517E0,1.438105733E0,2.190701902E0
1.047691583E0,-1.220498679E0,-1.008043022E0,1.300438887E0,2.048635902E0
1.057661583E0,-1.240604622E0,-5.873013568E-1,1.186913441E0,1.814603601E0
1.067630583E0,-1.116165787E0,-2.191624135E-1,1.121248625E0,1.597202775E0
1.077600583E0,-8.579713082E-1,-9.866591692E-2,1.337081049E0,1.591739759E0
