"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.737102156700440E9,"2025-01-17 10:22:36.700 UTC+02:00"
"PAUSE",6.731430541630834E1,1.737102224014488E9,"2025-01-17 10:23:44.014 UTC+02:00"
