"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.597088650E-4,-9.426691040E-1,4.340282929E-1,-2.304036856E-1,1.063057598E0
1.062870864E-2,-1.284102644E0,2.923414868E-1,-6.844961143E-1,1.484223055E0
2.059770841E-2,-1.471747396E0,3.405535340E-1,-1.236642841E0,1.952255778E0
3.056670818E-2,-1.705837751E0,3.743966335E-1,-1.770001879E0,2.486556238E0
4.053670820E-2,-1.911014794E0,4.437311625E-1,-2.058137464E0,2.843379100E0
5.050570890E-2,-1.923546546E0,5.401459014E-1,-2.046202712E0,2.859848676E0
6.047470868E-2,-2.068905404E0,5.803279674E-1,-1.858077319E0,2.840704392E0
7.044370845E-2,-2.066507753E0,7.096186763E-1,-1.530509866E0,2.667671908E0
8.041370846E-2,-1.959938155E0,8.153287339E-1,-1.046604824E0,2.366748861E0
9.038270824E-2,-1.794785888E0,7.950067359E-1,-6.101481825E-1,2.055619833E0
1.003517089E-1,-1.565741387E0,7.796121866E-1,-1.761707604E-1,1.757946925E0
1.103207087E-1,-1.437439296E0,7.873024446E-1,9.239068508E-2,1.641527614E0
1.202907087E-1,-1.460380847E0,6.713667762E-1,1.616445225E-1,1.615417753E0
1.302597085E-1,-1.543581317E0,3.930334640E-1,2.721761942E-1,1.615920316E0
1.402287083E-1,-1.401033216E0,2.163504875E-1,1.888755906E-1,1.430166282E0
1.501977080E-1,-1.280730262E0,-7.077294409E-2,1.845585912E-1,1.295893780E0
1.601677081E-1,-9.445868446E-1,-2.128462511E-1,3.760385317E-1,1.038726533E0
1.701367088E-1,-5.133622916E-1,-2.500824898E-1,4.349159002E-1,7.177979761E-1
1.801057085E-1,-2.765442105E-1,-4.575042790E-1,6.937955260E-1,8.758647713E-1
1.900747083E-1,-3.386284845E-1,-7.478571278E-1,9.404375142E-1,1.248351814E0
2.000447083E-1,-1.147071683E-1,-7.923813361E-1,8.522772896E-1,1.169359865E0
2.100137081E-1,1.488313727E-1,-8.522229105E-1,5.522677642E-1,1.026369500E0
2.199827088E-1,4.444630878E-1,-8.843141842E-1,3.223172379E-1,1.040887801E0
2.299517086E-1,8.560781260E-1,-7.775563055E-1,1.893088692E-1,1.171879437E0
2.399217086E-1,1.245968127E0,-7.284478801E-1,1.755299056E-1,1.453920092E0
2.498907084E-1,1.714537677E0,-6.167882806E-1,4.356158119E-1,1.873453593E0
2.598597081E-1,1.853139199E0,-4.806978446E-1,6.206643999E-1,2.012565429E0
2.698287088E-1,1.521628238E0,-5.791526771E-1,5.683517003E-1,1.724469186E0
2.797987089E-1,9.310642082E-1,-6.566727233E-1,6.135576940E-1,1.294045080E0
2.897677086E-1,4.042238653E-2,-8.626058114E-1,5.561386210E-1,1.027138219E0
2.997367084E-1,-7.600175091E-1,-1.257525587E0,5.483249867E-1,1.568329528E0
3.097057082E-1,-9.232814180E-1,-1.424258357E0,3.315757191E-1,1.729422707E0
3.196757082E-1,-4.860108075E-1,-1.090781708E0,-6.277687669E-2,1.195806078E0
3.296447089E-1,2.588588316E-1,-7.186397606E-1,-4.132987440E-1,8.684853781E-1
3.396137087E-1,9.973381584E-1,-3.755923891E-1,-4.664721537E-1,1.163335427E0
3.495827084E-1,1.537866395E0,-2.733631790E-2,-4.698378110E-1,1.608268600E0
3.595527085E-1,1.732749853E0,8.101960480E-2,-4.839798868E-1,1.800894989E0
3.695217082E-1,1.639165167E0,-1.335504055E-2,-6.149575174E-1,1.750775128E0
3.794907089E-1,1.445446327E0,-9.758652091E-2,-6.519060731E-1,1.588653437E0
3.894597087E-1,1.190985296E0,-2.111295086E-1,-5.710221237E-1,1.337567909E0
3.994297087E-1,8.587989085E-1,-3.684079152E-1,-3.901139492E-1,1.012644484E0
4.093987085E-1,6.233411090E-1,-4.919209903E-1,-2.554245061E-1,8.341355269E-1
4.193677083E-1,5.096911903E-1,-5.449037808E-1,-1.464312369E-1,7.603600114E-1
4.293377083E-1,6.185822064E-1,-5.139076906E-1,-1.246041656E-1,8.138005030E-1
4.393067081E-1,8.688370429E-1,-4.713072163E-1,-1.928119361E-1,1.007067397E0
4.492757088E-1,1.156385713E0,-4.391522080E-1,-3.050773072E-1,1.274030903E0
4.592447085E-1,1.337408786E0,-3.472988820E-1,-5.228206015E-1,1.477369336E0
4.692147085E-1,1.186409265E0,-3.711660469E-1,-5.506252813E-1,1.359602655E0
4.791837083E-1,7.475849399E-1,-3.671887708E-1,-2.971227551E-1,8.843035493E-1
4.891527081E-1,3.800281600E-1,-4.182144982E-1,7.159213901E-2,5.696053048E-1
4.991217088E-1,2.136240770E-1,-4.139928085E-1,3.528841424E-1,5.844249393E-1
5.090917088E-1,1.477354583E-1,-3.699702913E-1,5.856495184E-1,7.083001768E-1
5.190607086E-1,8.005591057E-2,-2.821258163E-1,7.948506153E-1,8.472257230E-1
5.290297084E-1,1.087150879E-2,-1.960267353E-1,9.422752941E-1,9.625109872E-1
5.389987081E-1,9.795876928E-2,-3.356944978E-2,9.768791163E-1,9.823520939E-1
5.489687081E-1,3.422305886E-1,1.657866901E-1,9.478050059E-1,1.021244991E0
5.589377088E-1,4.316942306E-1,2.913217324E-1,8.371306622E-1,9.859087210E-1
5.689067086E-1,4.253367723E-1,3.381538367E-1,5.410200602E-1,7.667868626E-1
5.788757084E-1,3.535135221E-1,3.483391017E-1,3.243637633E-1,5.928944181E-1
5.888457084E-1,2.395814022E-1,3.557013309E-1,9.641415417E-2,4.395661204E-1
5.988147082E-1,-5.499905661E-2,3.077442223E-1,-2.186139446E-1,3.814753719E-1
6.087837089E-1,-4.762156615E-1,1.422522318E-1,-4.014417601E-1,6.388838239E-1
6.187527087E-1,-6.370878399E-1,6.272542119E-2,-3.915541184E-1,7.504198970E-1
6.287227087E-1,-5.572254722E-1,5.579764009E-2,-4.061399978E-1,6.917826981E-1
6.386917084E-1,-4.524669758E-1,3.927223921E-2,-4.289850694E-1,6.247374350E-1
6.486607082E-1,-3.547964743E-1,6.006610751E-2,-2.542223185E-1,4.405876334E-1
6.586297089E-1,-1.702484811E-1,4.836933732E-2,-1.250134706E-3,1.769906804E-1
6.685997089E-1,9.443165570E-2,6.271489620E-2,1.118414479E-1,1.592451107E-1
6.785687087E-1,3.376586507E-1,8.548219979E-2,2.927279878E-1,4.549837862E-1
