"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.736930629870739E9,"2025-01-15 10:43:49.871 UTC+02:00"
"PAUSE",2.096744279190898E1,1.736930650837945E9,"2025-01-15 10:44:10.838 UTC+02:00"
