"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.738319476707983E9,"2025-01-31 12:31:16.708 UTC+02:00"
"PAUSE",9.137038100045174E1,1.738319568077874E9,"2025-01-31 12:32:48.078 UTC+02:00"
